run_name,d_model,n_layers,G,j,A,top_k,n_experts,d_expert,N_act,N_tot,D,steps,warmup,C,lr
d008_G01_A1_T0_5M,8,10,1,1,0.125,1,8,32,10240,467072,500000,61,10,1730880000000,0.015571394224144735
d008_G01_A2_T0_5M,8,10,1,2,0.25,2,8,32,17920,467072,500000,61,10,1753920000000,0.015539943042905952
d008_G01_A3_T0_5M,8,10,1,3,0.375,3,8,32,25600,467072,500000,61,10,1776960000000,0.015508964616885149
d008_G01_A4_T0_5M,8,10,1,4,0.5,4,8,32,33280,467072,500000,61,10,1800000000000,0.01547844584680603
d008_G01_A8_T0_5M,8,10,1,8,1.0,8,8,32,64000,467072,500000,61,10,1892160000000,0.015360723146271103
d008_G02_A1_T0_5M,8,10,2,1,0.125,2,16,16,10240,467712,500000,61,10,1732800000000,0.015568754906362954
d008_G02_A2_T0_5M,8,10,2,2,0.25,4,16,16,17920,467712,500000,61,10,1755840000000,0.015537343635030693
d008_G02_A3_T0_5M,8,10,2,3,0.375,6,16,16,25600,467712,500000,61,10,1778880000000,0.015506404006565156
d008_G02_A4_T0_5M,8,10,2,4,0.5,8,16,16,33280,467712,500000,61,10,1801920000000,0.015475922966513199
d008_G02_A8_T0_5M,8,10,2,8,1.0,16,16,16,64000,467712,500000,61,10,1894080000000,0.015358341328141623
d008_G04_A1_T0_5M,8,10,4,1,0.125,4,32,8,10240,468992,500000,61,10,1736640000000,0.015563486371122625
d008_G04_A2_T0_5M,8,10,4,2,0.25,8,32,8,17920,468992,500000,61,10,1759680000000,0.015532154636526197
d008_G04_A3_T0_5M,8,10,4,3,0.375,12,32,8,25600,468992,500000,61,10,1782720000000,0.015501292331563289
d008_G04_A4_T0_5M,8,10,4,4,0.5,16,32,8,33280,468992,500000,61,10,1805760000000,0.01547088649082274
d008_G04_A8_T0_5M,8,10,4,8,1.0,32,32,8,64000,468992,500000,61,10,1897920000000,0.015353586031674835
d008_G08_A1_T0_5M,8,10,8,1,0.125,8,64,4,10240,471552,500000,61,10,1744320000000,0.01555298947824535
d008_G08_A2_T0_5M,8,10,8,2,0.25,16,64,4,17920,471552,500000,61,10,1767360000000,0.015521815693919076
d008_G08_A3_T0_5M,8,10,8,3,0.375,24,64,4,25600,471552,500000,61,10,1790400000000,0.015491106958154961
d008_G08_A4_T0_5M,8,10,8,4,0.5,32,64,4,33280,471552,500000,61,10,1813440000000,0.015460850481239855
d008_G08_A8_T0_5M,8,10,8,8,1.0,64,64,4,64000,471552,500000,61,10,1905600000000,0.015344108628861423
d008_G16_A1_T0_5M,8,10,16,1,0.125,16,128,2,10240,476672,500000,61,10,1759680000000,0.015532154636526197
d008_G16_A2_T0_5M,8,10,16,2,0.25,32,128,2,17920,476672,500000,61,10,1782720000000,0.015501292331563289
d008_G16_A3_T0_5M,8,10,16,3,0.375,48,128,2,25600,476672,500000,61,10,1805760000000,0.01547088649082274
d008_G16_A4_T0_5M,8,10,16,4,0.5,64,128,2,33280,476672,500000,61,10,1828800000000,0.015440924666687644
d008_G16_A8_T0_5M,8,10,16,8,1.0,128,128,2,64000,476672,500000,61,10,1920960000000,0.01532528524734226
d008_G01_A1_T1M,8,10,1,1,0.125,1,8,32,10240,467072,1000000,122,10,3461760000000,0.014005545011858007
d008_G01_A2_T1M,8,10,1,2,0.25,2,8,32,17920,467072,1000000,122,10,3507840000000,0.013977256540820979
d008_G01_A3_T1M,8,10,1,3,0.375,3,8,32,25600,467072,1000000,122,10,3553920000000,0.01394939328504661
d008_G01_A4_T1M,8,10,1,4,0.5,4,8,32,33280,467072,1000000,122,10,3600000000000,0.013921943462513258
d008_G01_A8_T1M,8,10,1,8,1.0,8,8,32,64000,467072,1000000,122,10,3784320000000,0.013816058879699031
d008_G02_A1_T1M,8,10,2,1,0.125,2,16,16,10240,467712,1000000,122,10,3465600000000,0.014003171102145029
d008_G02_A2_T1M,8,10,2,2,0.25,4,16,16,17920,467712,1000000,122,10,3511680000000,0.01397491852770044
d008_G02_A3_T1M,8,10,2,3,0.375,6,16,16,25600,467712,1000000,122,10,3557760000000,0.013947090168024574
d008_G02_A4_T1M,8,10,2,4,0.5,8,16,16,33280,467712,1000000,122,10,3603840000000,0.013919674281411543
d008_G02_A8_T1M,8,10,2,8,1.0,16,16,16,64000,467712,1000000,122,10,3788160000000,0.013813916575641842
d008_G04_A1_T1M,8,10,4,1,0.125,4,32,8,10240,468992,1000000,122,10,3473280000000,0.01399843236736041
d008_G04_A2_T1M,8,10,4,2,0.25,8,32,8,17920,468992,1000000,122,10,3519360000000,0.013970251331489552
d008_G04_A3_T1M,8,10,4,3,0.375,12,32,8,25600,468992,1000000,122,10,3565440000000,0.013942492519715494
d008_G04_A4_T1M,8,10,4,4,0.5,16,32,8,33280,468992,1000000,122,10,3611520000000,0.013915144270420333
d008_G04_A8_T1M,8,10,4,8,1.0,32,32,8,64000,468992,1000000,122,10,3795840000000,0.013809639468675592
d008_G08_A1_T1M,8,10,8,1,0.125,8,64,4,10240,471552,1000000,122,10,3488640000000,0.013988991035161047
d008_G08_A2_T1M,8,10,8,2,0.25,16,64,4,17920,471552,1000000,122,10,3534720000000,0.013960952066184555
d008_G08_A3_T1M,8,10,8,3,0.375,24,64,4,25600,471552,1000000,122,10,3580800000000,0.013933331380791163
d008_G08_A4_T1M,8,10,8,4,0.5,32,64,4,33280,471552,1000000,122,10,3626880000000,0.013906117475392913
d008_G08_A8_T1M,8,10,8,8,1.0,64,64,4,64000,471552,1000000,122,10,3811200000000,0.013801115107286491
d008_G16_A1_T1M,8,10,16,1,0.125,16,128,2,10240,476672,1000000,122,10,3519360000000,0.013970251331489552
d008_G16_A2_T1M,8,10,16,2,0.25,32,128,2,17920,476672,1000000,122,10,3565440000000,0.013942492519715494
d008_G16_A3_T1M,8,10,16,3,0.375,48,128,2,25600,476672,1000000,122,10,3611520000000,0.013915144270420333
d008_G16_A4_T1M,8,10,16,4,0.5,64,128,2,33280,476672,1000000,122,10,3657600000000,0.013888195387711372
d008_G16_A8_T1M,8,10,16,8,1.0,128,128,2,64000,476672,1000000,122,10,3841920000000,0.013784184592693701
d008_G01_A1_T2M,8,10,1,1,0.125,1,8,32,10240,467072,2000000,244,10,6923520000000,0.012597156571569276
d008_G01_A2_T2M,8,10,1,2,0.25,2,8,32,17920,467072,2000000,244,10,7015680000000,0.012571712770665988
d008_G01_A3_T2M,8,10,1,3,0.375,3,8,32,25600,467072,2000000,244,10,7107840000000,0.012546651425656835
d008_G01_A4_T2M,8,10,1,4,0.5,4,8,32,33280,467072,2000000,244,10,7200000000000,0.012521961939312556
d008_G01_A8_T2M,8,10,1,8,1.0,8,8,32,64000,467072,2000000,244,10,7568640000000,0.012426725040848643
d008_G02_A1_T2M,8,10,2,1,0.125,2,16,16,10240,467712,2000000,244,10,6931200000000,0.0125950213806634
d008_G02_A2_T2M,8,10,2,2,0.25,4,16,16,17920,467712,2000000,244,10,7023360000000,0.01256960986661471
d008_G02_A3_T2M,8,10,2,3,0.375,6,16,16,25600,467712,2000000,244,10,7115520000000,0.012544579908575229
