Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
----------------------------------------------------------------------------------------------------
d064_G01_A1_T0_5M                64    1   1  12.5%      1      8    256  6.554e+05    1.557e+13 1.1129e-02
d064_G01_A2_T0_5M                64    1   2  25.0%      2      8    256  1.147e+06    1.704e+13 1.0976e-02
d064_G01_A3_T0_5M                64    1   3  37.5%      3      8    256  1.638e+06    1.852e+13 1.0838e-02
d064_G01_A4_T0_5M                64    1   4  50.0%      4      8    256  2.130e+06    1.999e+13 1.0712e-02
d064_G01_A8_T0_5M                64    1   8 100.0%      8      8    256  4.096e+06    2.589e+13 1.0297e-02
d064_G02_A1_T0_5M                64    2   1  12.5%      2     16    128  6.554e+05    1.558e+13 1.1128e-02
d064_G02_A2_T0_5M                64    2   2  25.0%      4     16    128  1.147e+06    1.706e+13 1.0975e-02
d064_G02_A3_T0_5M                64    2   3  37.5%      6     16    128  1.638e+06    1.853e+13 1.0837e-02
d064_G02_A4_T0_5M                64    2   4  50.0%      8     16    128  2.130e+06    2.001e+13 1.0711e-02
d064_G02_A8_T0_5M                64    2   8 100.0%     16     16    128  4.096e+06    2.590e+13 1.0296e-02
d064_G04_A1_T0_5M                64    4   1  12.5%      4     32     64  6.554e+05    1.561e+13 1.1124e-02
d064_G04_A2_T0_5M                64    4   2  25.0%      8     32     64  1.147e+06    1.709e+13 1.0972e-02
d064_G04_A3_T0_5M                64    4   3  37.5%     12     32     64  1.638e+06    1.856e+13 1.0834e-02
d064_G04_A4_T0_5M                64    4   4  50.0%     16     32     64  2.130e+06    2.004e+13 1.0708e-02
d064_G04_A8_T0_5M                64    4   8 100.0%     32     32     64  4.096e+06    2.594e+13 1.0294e-02
d064_G08_A1_T0_5M                64    8   1  12.5%      8     64     32  6.554e+05    1.567e+13 1.1118e-02
d064_G08_A2_T0_5M                64    8   2  25.0%     16     64     32  1.147e+06    1.715e+13 1.0966e-02
d064_G08_A3_T0_5M                64    8   3  37.5%     24     64     32  1.638e+06    1.862e+13 1.0828e-02
d064_G08_A4_T0_5M                64    8   4  50.0%     32     64     32  2.130e+06    2.010e+13 1.0703e-02
d064_G08_A8_T0_5M                64    8   8 100.0%     64     64     32  4.096e+06    2.600e+13 1.0290e-02
d064_G16_A1_T0_5M                64   16   1  12.5%     16    128     16  6.554e+05    1.580e+13 1.1104e-02
d064_G16_A2_T0_5M                64   16   2  25.0%     32    128     16  1.147e+06    1.727e+13 1.0954e-02
d064_G16_A3_T0_5M                64   16   3  37.5%     48    128     16  1.638e+06    1.875e+13 1.0818e-02
d064_G16_A4_T0_5M                64   16   4  50.0%     64    128     16  2.130e+06    2.022e+13 1.0693e-02
d064_G16_A8_T0_5M                64   16   8 100.0%    128    128     16  4.096e+06    2.612e+13 1.0283e-02
d064_G01_A1_T1M                  64    1   1  12.5%      1      8    256  6.554e+05    3.113e+13 1.0010e-02
d064_G01_A2_T1M                  64    1   2  25.0%      2      8    256  1.147e+06    3.408e+13 9.8726e-03
d064_G01_A3_T1M                  64    1   3  37.5%      3      8    256  1.638e+06    3.703e+13 9.7481e-03
d064_G01_A4_T1M                  64    1   4  50.0%      4      8    256  2.130e+06    3.998e+13 9.6346e-03
d064_G01_A8_T1M                  64    1   8 100.0%      8      8    256  4.096e+06    5.178e+13 9.2612e-03
d064_G02_A1_T1M                  64    2   1  12.5%      2     16    128  6.554e+05    3.117e+13 1.0009e-02
d064_G02_A2_T1M                  64    2   2  25.0%      4     16    128  1.147e+06    3.411e+13 9.8712e-03
d064_G02_A3_T1M                  64    2   3  37.5%      6     16    128  1.638e+06    3.706e+13 9.7469e-03
d064_G02_A4_T1M                  64    2   4  50.0%      8     16    128  2.130e+06    4.001e+13 9.6335e-03
d064_G02_A8_T1M                  64    2   8 100.0%     16     16    128  4.096e+06    5.181e+13 9.2603e-03
d064_G04_A1_T1M                  64    4   1  12.5%      4     32     64  6.554e+05    3.123e+13 1.0006e-02
d064_G04_A2_T1M                  64    4   2  25.0%      8     32     64  1.147e+06    3.418e+13 9.8685e-03
d064_G04_A3_T1M                  64    4   3  37.5%     12     32     64  1.638e+06    3.713e+13 9.7444e-03
d064_G04_A4_T1M                  64    4   4  50.0%     16     32     64  2.130e+06    4.007e+13 9.6312e-03
d064_G04_A8_T1M                  64    4   8 100.0%     32     32     64  4.096e+06    5.187e+13 9.2586e-03
d064_G08_A1_T1M                  64    8   1  12.5%      8     64     32  6.554e+05    3.135e+13 9.9996e-03
d064_G08_A2_T1M                  64    8   2  25.0%     16     64     32  1.147e+06    3.430e+13 9.8631e-03
d064_G08_A3_T1M                  64    8   3  37.5%     24     64     32  1.638e+06    3.725e+13 9.7395e-03
d064_G08_A4_T1M                  64    8   4  50.0%     32     64     32  2.130e+06    4.020e+13 9.6267e-03
