Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
----------------------------------------------------------------------------------------------------
d064_G01_A1_T4M                  64    1   1  12.5%      1      8    256  6.554e+05    1.245e+14 8.0982e-03
d064_G01_A2_T4M                  64    1   2  25.0%      2      8    256  1.147e+06    1.363e+14 7.9869e-03
d064_G01_A3_T4M                  64    1   3  37.5%      3      8    256  1.638e+06    1.481e+14 7.8862e-03
d064_G01_A4_T4M                  64    1   4  50.0%      4      8    256  2.130e+06    1.599e+14 7.7943e-03
d064_G01_A8_T4M                  64    1   8 100.0%      8      8    256  4.096e+06    2.071e+14 7.4922e-03
d064_G02_A1_T4M                  64    2   1  12.5%      2     16    128  6.554e+05    1.247e+14 8.0969e-03
d064_G02_A2_T4M                  64    2   2  25.0%      4     16    128  1.147e+06    1.365e+14 7.9858e-03
d064_G02_A3_T4M                  64    2   3  37.5%      6     16    128  1.638e+06    1.483e+14 7.8852e-03
d064_G02_A4_T4M                  64    2   4  50.0%      8     16    128  2.130e+06    1.601e+14 7.7934e-03
d064_G02_A8_T4M                  64    2   8 100.0%     16     16    128  4.096e+06    2.072e+14 7.4915e-03
d064_G04_A1_T4M                  64    4   1  12.5%      4     32     64  6.554e+05    1.249e+14 8.0945e-03
d064_G04_A2_T4M                  64    4   2  25.0%      8     32     64  1.147e+06    1.367e+14 7.9836e-03
d064_G04_A3_T4M                  64    4   3  37.5%     12     32     64  1.638e+06    1.485e+14 7.8832e-03
d064_G04_A4_T4M                  64    4   4  50.0%     16     32     64  2.130e+06    1.603e+14 7.7916e-03
d064_G04_A8_T4M                  64    4   8 100.0%     32     32     64  4.096e+06    2.075e+14 7.4902e-03
d064_G08_A1_T4M                  64    8   1  12.5%      8     64     32  6.554e+05    1.254e+14 8.0896e-03
d064_G08_A2_T4M                  64    8   2  25.0%     16     64     32  1.147e+06    1.372e+14 7.9792e-03
d064_G08_A3_T4M                  64    8   3  37.5%     24     64     32  1.638e+06    1.490e+14 7.8792e-03
d064_G08_A4_T4M                  64    8   4  50.0%     32     64     32  2.130e+06    1.608e+14 7.7879e-03
d064_G08_A8_T4M                  64    8   8 100.0%     64     64     32  4.096e+06    2.080e+14 7.4875e-03
d064_G16_A1_T4M                  64   16   1  12.5%     16    128     16  6.554e+05    1.264e+14 8.0800e-03
d064_G16_A2_T4M                  64   16   2  25.0%     32    128     16  1.147e+06    1.382e+14 7.9705e-03
d064_G16_A3_T4M                  64   16   3  37.5%     48    128     16  1.638e+06    1.500e+14 7.8713e-03
d064_G16_A4_T4M                  64   16   4  50.0%     64    128     16  2.130e+06    1.618e+14 7.7807e-03
d064_G16_A8_T4M                  64   16   8 100.0%    128    128     16  4.096e+06    2.090e+14 7.4821e-03
d064_G01_A1_T8M                  64    1   1  12.5%      1      8    256  6.554e+05    2.491e+14 7.2838e-03
d064_G01_A2_T8M                  64    1   2  25.0%      2      8    256  1.147e+06    2.727e+14 7.1837e-03
d064_G01_A3_T8M                  64    1   3  37.5%      3      8    256  1.638e+06    2.963e+14 7.0931e-03
d064_G01_A4_T8M                  64    1   4  50.0%      4      8    256  2.130e+06    3.199e+14 7.0105e-03
d064_G01_A8_T8M                  64    1   8 100.0%      8      8    256  4.096e+06    4.142e+14 6.7388e-03
d064_G02_A1_T8M                  64    2   1  12.5%      2     16    128  6.554e+05    2.493e+14 7.2827e-03
d064_G02_A2_T8M                  64    2   2  25.0%      4     16    128  1.147e+06    2.729e+14 7.1827e-03
d064_G02_A3_T8M                  64    2   3  37.5%      6     16    128  1.638e+06    2.965e+14 7.0922e-03
d064_G02_A4_T8M                  64    2   4  50.0%      8     16    128  2.130e+06    3.201e+14 7.0097e-03
d064_G02_A8_T8M                  64    2   8 100.0%     16     16    128  4.096e+06    4.145e+14 6.7382e-03
d064_G04_A1_T8M                  64    4   1  12.5%      4     32     64  6.554e+05    2.498e+14 7.2805e-03
d064_G04_A2_T8M                  64    4   2  25.0%      8     32     64  1.147e+06    2.734e+14 7.1808e-03
d064_G04_A3_T8M                  64    4   3  37.5%     12     32     64  1.638e+06    2.970e+14 7.0905e-03
d064_G04_A4_T8M                  64    4   4  50.0%     16     32     64  2.130e+06    3.206e+14 7.0081e-03
d064_G04_A8_T8M                  64    4   8 100.0%     32     32     64  4.096e+06    4.150e+14 6.7370e-03
d064_G08_A1_T8M                  64    8   1  12.5%      8     64     32  6.554e+05    2.508e+14 7.2762e-03
d064_G08_A2_T8M                  64    8   2  25.0%     16     64     32  1.147e+06    2.744e+14 7.1768e-03
d064_G08_A3_T8M                  64    8   3  37.5%     24     64     32  1.638e+06    2.980e+14 7.0869e-03
d064_G08_A4_T8M                  64    8   4  50.0%     32     64     32  2.130e+06    3.216e+14 7.0048e-03
d064_G08_A8_T8M                  64    8   8 100.0%     64     64     32  4.096e+06    4.159e+14 6.7345e-03
d064_G16_A1_T8M                  64   16   1  12.5%     16    128     16  6.554e+05    2.528e+14 7.2675e-03
d064_G16_A2_T8M                  64   16   2  25.0%     32    128     16  1.147e+06    2.764e+14 7.1690e-03
d064_G16_A3_T8M                  64   16   3  37.5%     48    128     16  1.638e+06    3.000e+14 7.0797e-03
d064_G16_A4_T8M                  64   16   4  50.0%     64    128     16  2.130e+06    3.235e+14 6.9983e-03
d064_G16_A8_T8M                  64   16   8 100.0%    128    128     16  4.096e+06    4.179e+14 6.7297e-03
d064_G01_A1_T16M                 64    1   1  12.5%      1      8    256  6.554e+05    4.982e+14 6.5514e-03
d064_G01_A2_T16M                 64    1   2  25.0%      2      8    256  1.147e+06    5.453e+14 6.4613e-03
d064_G01_A3_T16M                 64    1   3  37.5%      3      8    256  1.638e+06    5.925e+14 6.3799e-03
d064_G01_A4_T16M                 64    1   4  50.0%      4      8    256  2.130e+06    6.397e+14 6.3056e-03
d064_G01_A8_T16M                 64    1   8 100.0%      8      8    256  4.096e+06    8.285e+14 6.0612e-03
d064_G02_A1_T16M                 64    2   1  12.5%      2     16    128  6.554e+05    4.986e+14 6.5504e-03
d064_G02_A2_T16M                 64    2   2  25.0%      4     16    128  1.147e+06    5.458e+14 6.4604e-03
d064_G02_A3_T16M                 64    2   3  37.5%      6     16    128  1.638e+06    5.930e+14 6.3791e-03
d064_G02_A4_T16M                 64    2   4  50.0%      8     16    128  2.130e+06    6.402e+14 6.3048e-03
d064_G02_A8_T16M                 64    2   8 100.0%     16     16    128  4.096e+06    8.289e+14 6.0606e-03
d064_G04_A1_T16M                 64    4   1  12.5%      4     32     64  6.554e+05    4.996e+14 6.5484e-03
d064_G04_A2_T16M                 64    4   2  25.0%      8     32     64  1.147e+06    5.468e+14 6.4587e-03
d064_G04_A3_T16M                 64    4   3  37.5%     12     32     64  1.638e+06    5.940e+14 6.3774e-03
d064_G04_A4_T16M                 64    4   4  50.0%     16     32     64  2.130e+06    6.412e+14 6.3033e-03
d064_G04_A8_T16M                 64    4   8 100.0%     32     32     64  4.096e+06    8.299e+14 6.0595e-03
d064_G08_A1_T16M                 64    8   1  12.5%      8     64     32  6.554e+05    5.016e+14 6.5445e-03
d064_G08_A2_T16M                 64    8   2  25.0%     16     64     32  1.147e+06    5.488e+14 6.4551e-03
d064_G08_A3_T16M                 64    8   3  37.5%     24     64     32  1.638e+06    5.960e+14 6.3742e-03
d064_G08_A4_T16M                 64    8   4  50.0%     32     64     32  2.130e+06    6.432e+14 6.3004e-03
d064_G08_A8_T16M                 64    8   8 100.0%     64     64     32  4.096e+06    8.319e+14 6.0573e-03
d064_G16_A1_T16M                 64   16   1  12.5%     16    128     16  6.554e+05    5.055e+14 6.5367e-03
d064_G16_A2_T16M                 64   16   2  25.0%     32    128     16  1.147e+06    5.527e+14 6.4481e-03
d064_G16_A3_T16M                 64   16   3  37.5%     48    128     16  1.638e+06    5.999e+14 6.3678e-03
d064_G16_A4_T16M                 64   16   4  50.0%     64    128     16  2.130e+06    6.471e+14 6.2945e-03
d064_G16_A8_T16M                 64   16   8 100.0%    128    128     16  4.096e+06    8.358e+14 6.0529e-03
d064_G01_A1_T32M                 64    1   1  12.5%      1      8    256  6.554e+05    9.963e+14 5.8926e-03
d064_G01_A2_T32M                 64    1   2  25.0%      2      8    256  1.147e+06    1.091e+15 5.8116e-03
d064_G01_A3_T32M                 64    1   3  37.5%      3      8    256  1.638e+06    1.185e+15 5.7383e-03
d064_G01_A4_T32M                 64    1   4  50.0%      4      8    256  2.130e+06    1.279e+15 5.6715e-03
d064_G01_A8_T32M                 64    1   8 100.0%      8      8    256  4.096e+06    1.657e+15 5.4516e-03
d064_G02_A1_T32M                 64    2   1  12.5%      2     16    128  6.554e+05    9.973e+14 5.8917e-03
